"","Comentario"
"660","Tela un poco gruesa y elasticada, tiro alto altura del ombligo, son muy ajustados para ser mom jeans pero se ven lindos igual. Quizás una talla más quedaría más como mom jeans pero la cintura sería muy ancha .
<U+2714> Sí, recomiendo este producto."
"661","He estado comprando jeans sybilla soy 40 y como son de horma chica he comprado 42 en este leí que hay que comprar una talla menos y me guíe por eso y compré en mi talla 40 y me quedaron perfecto buen tiro alto"
"662","Soy 38 en skinny jeans y compré los blancos en 38 y quedan perfectos! Como un mom debería quedar, incluso un 40 hubiera quedado bonito(más oversize)"
"663","Es la talla normal, yo pedí 36 que es mi talla y me quedo perfecto, el 38 hubiera sido muy grande! Ojalá lo tuvieran en más colores, es precioso
<U+2714> Sí, recomiendo este producto."
"664","Soy talla 38 me quedaron grandes de cintura y cadera recomiendo una talla menos
<U+2714> Sí, recomiendo este producto."
"665","No son mom rígidos son muy elasticados entonces se sueltan mucho pedí mi talla normal 40 y me quedaba muy grandes los cambie a 38 pero tampoco me gustaron mucho como quedan, siguen siendo muy sueltos"
"666","Me los compre en negros y azules, creo que no son ""mom"" propiamente tal pero son bonitos, soy 38 y pedi 36 me quedaron super de talla, a los negros se les pega todo eso si, pelusas, pelos etc solo con mirarlos, los azules son tela jeans bonitos.
Creo que para el precio esta super.
<U+2714> Sí, recomiendo este producto."
"667","Jeans tiro alto, y tela elásticada, no dura. Recordar que son tipo mom, por ende si quieres ese estilo no pidan talla menos. Pedir su talla de siempre. A mi me encantaron! Muy cómodos.
<U+2714> Sí, recomiendo este producto."
"668","es muy lindo . pero escoge una talla mas de la que usas porque no son elasticados
<U+2714> Sí, recomiendo este producto."
"669","Muy buen calce, generalmente soy 36-38, y ahora el 36 me quedó perfecto
<U+2714> Sí, recomiendo este producto."
"670","Los pantalones son muy lindos y tienen muy buen calce, pero a mi parecer son más grandes de lo normal. Generalmente uso 38/40, me pedí un 40 para q me quedaran bien como <U+0093>mom jeans<U+0094> y eran dmc grandes. Recomiendo 100% q se pidan una talla menos. Ojalá les sirva"
"671","Son bellos pero deberían traer en más tallas 34 o 36, y más colores, me gustaría comprarlos.
<U+2714> Sí, recomiendo este producto."
"672","Lindo, buen calce. Como dicen los demás comentarios, ojala pedir una talla menos (al menos en el de color negro). Lo que sí OJO la tela es de esa que se le pega todo!!! Lamentablemente, es un muy lindo jeans pero a cualquier parte que voy o cuando lo lavo, se llena de peluzas o lo que sea."
"673","Compren una o dos tallas menos, yo seguí los comentarios y super!! Es super cómodo, elasticado y tiro alto, llegó todo ok.
<U+2714> Sí, recomiendo este producto."
"674","Son súper cómodos y elasticados. Leí comentarios que dicen pedir una talla menos porque les queda grande, pero es porque el tipo de pantalón es así! Yo soy 38 pitillos, pedí 38 mom y me quedan súper, como MOM, como deben quedar. Talla 38: 36cm cintura, 32 cm de tiro, 45cm caderas. Talla 48: 47cm cintura, 56cm cadera y 35cm de tiro. Espero les sirva! <3!!!
<U+2714> Sí, recomiendo este producto."
"675","Son muy cómodos y lindos, eso si pidan una talla menos, ya que soy 38 y me quedaron algo grandes.
<U+2714> Sí, recomiendo este producto."
"676","Son muy bellos, hay q pedir una talla menos pero son muy cómodos los amo, los compré en blanco y negro y quiero q estén disponibles en azul...Recomendados
<U+2714> Sí, recomiendo este producto."
"677","Lo más difícil desde que subí de peso es encontrar algo que no me desfigure el cuerpo, no me saque barriga y me deje bien vestida. Este jeans cumple con todo, para todas las mujeres flacas o gorditas. Tela gruesa que no marca imperfecciones y además estiliza la figura. Pidan una talla menos de la normal yo soy 42 y pedí 40 ¡me quedó brutal!
<U+2714> Sí, recomiendo este producto."
"678","la talla corresponde, me encanto es muy bonito y combinable
<U+2714> Sí, recomiendo este producto."
"679","Compré el pantalón azul en número 38 que es mi talla habitual. No me quedaron para nada sueltos como esperaba que fuera (estilo mom) me guié por los comentarios ya que decían pedir una talla menos, menos mal me quede con mi talla quizás hubiese pedido una más pero de cintura quedaría grande. Si son bonitos pero no era lo que esperaba.
<U+2714> Sí, recomiendo este producto."
"680","Realmente muy cómodos, tiro extra largo, tela eslasticada y gruesa al menos los negros, son sueltos de pierna , soy talla 40 leyendo comentario pedí un 38 y quedaron perfectos. Creo que existían en azul pero ya no están:( , realmente recomendados!!!"
"681","Muy cómodos, me compre una talla menos, regularmente soy 42 y compre un 40 y me quedaron súper bien, como un guante! La tela no es muy gruesa pero tampoco la más delgada, terminó medio. El color negro profundo como en la foto! Los mega recomiendo!!!
<U+2714> Sí, recomiendo este producto."
"682","Lindos y cómodos. Excelente relación precio-calidad. Compre negro y celeste. Soy 38, a veces 40, así que compre 38 y me quedaron bien, algo suelto pero para mi está bien. Los 36 me habrían quedado también. Son tiro muy alto, bien elasticados y gruesos, sobre todo el negro. Son más bien pantalones de invierno. Más que mom, son strech, rectos, no pitillos
<U+2714> Sí, recomiendo este producto."
"683","Soy talla 38 y leí comentarios así que pedí un 36. Me quedó increíble, el jeans más cómodo que he comprado en retail. A mi parecer sí tiene fit tipo mom, pero solo el fit, ya que la tela no es gruesa como un mom, pero tampoco es tan tan delgada. Respecto al tiro, es muy alto, me llega sobre el ombligo y eso es maravilloso. El largo también es bacán, me llega al tobillo (el jeans viene arremangado abajo como en la foto). La relación calidad-precio es muy adecuada, Creo que definitivamente compraré otro, solo que no sé si 1 o 2 jejeje
<U+2714> Sí, recomiendo este producto."
"684","Yo siempre soy talla 36, siempre siempre, pero leí comentarios y decían que hay que pedir una talla menos, así que pedí 34 y me quedaron super, no son pequeños, queda como en la foto de sueltos.
Son demasiado cómodos, lo recomiendo totalmente."
"685","Soy talla 40 en pantalón y me pedí un 38 quedó perfecto, ojalá hubieran más colores
<U+2714> Sí, recomiendo este producto."
"686","Me encantaron, me compré el color negro e hice caso a los comentarios y me compré una talla menos, me quedaron super me gustaron que me quedarán un poco suelto, al estilo de mom jeans, pero si quieres que te queden más apretados recomiendo 2 tallas menos.
<U+2714> Sí, recomiendo este producto."
"687","Compré el jeans azul, ya había leído más abajo que varias recomendaban pedir una talla menos, sin embargo leí unas pocas que recomendaban pedir tu talla habitual. Yo usualmente soy talla 40 y algunas veces 38, lamentablemente el día que compré la talla más chica era la 40 así que pedí esa porque no había de otra. Hoy me llegó el jeans y nada que decir respecto a comodidad, es tremendamente cómodo, lamentablemente es SÚPER elasticado, lo cual sería bueno si no fuese porque al lavarlos es obvio que van a dar más. Me quedaron bastante grandes, yo creo que hasta una talla 36 me habría quedado bien, pero bueno, lo voy a achicar de todas formas porque es lindo. Supongo que lo recomiendo, pero tener cuidado con las tallas.
<U+2714> Sí, recomiendo este producto."
"688","Es demasiado elasticado, da la impresión que se durará poco y después quedará todo suelto. Para variar pedí el azul en talla 38 y me llego un 36."
"689","Soy 34-36 compre el 36 y me quedo grande, es mas estilo boyfriend que mom"
"690","Normalmente soy talla 38, soy algo curvy.. hice caso a los comentarios y compré talla 36. Me quedó perfecto.. un 38 me iba a quedar grande en la cintura. Recomendación: Una talla menos a la que usas normalmente."
"691","Normalmente compro talla 38, y me quedó enorme, así que recomiendo comprar una talla menos.. son mom jeans pero se me caen"
"692","Compren su talla normal, al menos si usan tallas más grandes, yo compré una talla 48 y me quedó perfecto! Aparte son elasticados, los amo
<U+2714> Sí, recomiendo este producto."
"693","Demasiado grande, recomiendo una talla menos. El material del negro no es jeans, es mas bien grueso pero elástico , no lo recomiendo. No asi el jeans claro, ese queda bien, el material es rico aunque también recomiendo una talla menos"
"694","Me compré una talla menos como dice en los comentarios generalmente soy 38 y compre una 36 nada que decir con el modelo, se ve bonito y es cómodo pero los pedí en azul y llegaron blancos, los cambie y volvieron a llegar blancos para que tengan cuidado con la talla 36 específicamente"
"695","Son súper elasticados pero tienen buen calce. Normalmente soy talla 40/42 pero compré un 38 y me quedo bueno. Recomiendo comprar una talla menos de la usual.
<U+2714> Sí, recomiendo este producto."
"696","Soy talla 38 y seguí los comentarios, me pedí una talla menos, me quedaron bien pero no como mom sino como pitillo, pero tiene buen calze, es elásticado, igual queda lindo
<U+2714> Sí, recomiendo este producto."
"697","Soy 40-42 y pedí 40 ya que es hiper elasticado el tiro es alto tapa el ombligo pediré en negro ya que están super relaicón precio calidad
<U+2714> Sí, recomiendo este producto."
"698","Estoy tratando de comprarlo en azul y me aparece en blanco en el carro"
"699","Me pedí el azul y es incluso más lindo que en la foto. Son suuper elástica dos. Normalmente uso talla 42 y a veces hasta 44. No me quise arriesgar mucho y pedí 42 y la verdad me quedaron súper sueltos. Se que el estilo mom jeans es así pero se ve raro que quede tan suelto en el área del abdomen bajo. Yo creo que con un 40 hubiese andado súper. Ahora me encargaré un negro en 40.
<U+2714> Sí, recomiendo este producto."
"700","El pantalón es un mom, de tela medianamente elasticada. Personalmente compre mi talla 42, pero me hubiera quedado bien el 40.
De cadera me queda bien, pero de cintura me queda ancho (esto porque soy triangulo invertido y mi cintura es pequeña), pero se soluciona con un cinturón.
Compre los 3 colores y la tela del azul es diferente a la del blanco y negro, estos últimos son mas denim tradicional.
Los compré a principio de año cuando estaban mas baratos que ahora.
<U+2714> Sí, recomiendo este producto."
"701","Buena tela y color, es elasticado de forma que da. Pedí el 42 y me queda super, pero se va soltando, asi que creo que pediré uno mas pequeño de otro color. Se los recomiendo mucho!
<U+2714> Sí, recomiendo este producto."
"702","Llego el día que correspondía, me compre el azul claro y negro, super cómodos y buen calce, en talla soy 36 pero me pedí un 34 y quedaron perfectos
<U+2714> Sí, recomiendo este producto."
"703","Compre el 34 es recto y me queda un poco suelto de la cintura, no me gustó el material se le pegan fácilmente pelos y pelusas
<U+2714> Sí, recomiendo este producto."
"704","yo pedí mi talla normal que es 38 y me quedó bien, y lo otro, no es azul clarito como sale en la foto, es un azul más oscuro, sinceramente es más lindo el de la foto que el que llega."
"705","Chicas! miren les explico, hay algunas que dicen no! que tienen que escoger su talla porque es estilo mom! porque no queda apretado abajo, pero yo les aconsejo que pidan una talla menos ejemplo si eres 40 pedir 38 porque aunque de la parte de abajo te siga quedando mas suelto (que se ve bien porque asi es el estilo) queda feo de la parte del abdomen se nota que te queda grande, asique consideren eso! si o si les recomiendo almenos una talla menos porque me deje guiar con las que decian que pidiera mi talla y me quedo raro del abdomen. (El color que compre fue el blanco)
<U+2714> Sí, recomiendo este producto."
